name,link,ingredients,steps,nutrition
Orange Chocolate Chip Cookies,https://www.allrecipes.com/recipe/10599/orange-chocolate-chip-cookies/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¾', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'orange zest'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'semisweet chocolate chips'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'chopped pecans'}","Preheat the oven to 350 degrees F (175 degrees C). Grease cookie sheets.. Sift flour, baking powder, and salt into a medium bowl and set aside.. Cream butter, sugars, orange zest, and vanilla extract together in a large bowl until light and fluffy.. Add eggs, one at a time, beating well after each addition. Add dry ingredients and stir until combined. Stir in chocolate chips and pecans; mix until well-blended.. Drop dough by slightly rounded tablespoonfuls 2 inches apart on cookie sheets; flatten slightly.. Bake cookies in the preheated oven until golden, about 15 minutes. Let cookies cool briefly on the cookie sheets or transfer to a wire rack to cool completely.","calories: 244, fat: 14g, carbs: 29g, protein: 3g, servings: 48"
Copycat Crumbl Milk Chocolate Chip Cookies,https://www.allrecipes.com/copycat-crumbl-milk-chocolate-chip-cookies-recipe-8695558,"{'quantity': '4 1/4', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cornstarch'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'salted butter'}, {'quantity': '1 1/4', 'unit': 'cups', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '12', 'unit': 'ounces', 'name': 'milk chocolate chips'}, {'quantity': None, 'unit': None, 'name': 'sea salt'}","Combine flour, baking soda, baking powder, cornstarch, and kosher salt in a large bowl and whisk until well incorporated; set aside.. Add butter, brown sugar, and white sugar to the bowl of a stand mixer fitted with a paddle attachment. Mix on medium speed until light and fluffy, about 3 minutes. Add in eggs one at a time, until just combined. Add in vanilla; gradually add in dry ingredients, mixing until just combined. Stir in chocolate chips.. Using a 1/2 cup measure, scoop balls of dough into hands and form into a loose ball. Place cookie dough balls on a rimmed baking sheet and place in refrigerator for about 1 hour or until ready to bake. Alternatively, place in the freezer for 25 to 30 minutes.. Preheat the oven to 375 degrees F (190 degrees C). Line baking sheets with parchment. Working in batches of 3 or 4 cookies per baking sheet, carefully tear each dough ball in half and place one half on top of the other with the broken, jagged side up. Gently press the 2 halves together, taking care not to smooth the top. Place cookies on the prepared baking sheet, leaving plenty of space between cookies.. Bake in the preheated oven until golden around the edges and barely set in the middle, 10 to 12 minutes. Sprinkle with a pinch of flaky salt if desired. Allow to cool completely on the baking sheet.","calories: 672, fat: 33g, carbs: 87g, protein: 8g, servings: 12"
Chocolate Chipless Cookies,https://www.allrecipes.com/chocolate-chipless-cookies-recipe-8677931,"{'quantity': '3/4', 'unit': 'cup', 'name': 'unsalted butter, at room temperature'}, {'quantity': '1', 'unit': 'cup', 'name': 'brown sugar, packed'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'granulated sugar'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'large', 'name': 'egg yolk'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vanilla extract'}, {'quantity': '1 3/4', 'unit': 'cups', 'name': 'all purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'coconut oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'semi-sweet chocolate chips'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'flaky sea salt for garnish'}",,"calories: 231, fat: 14g, carbs: 26g, protein: 2g, servings: 20"
Gluten-Free Chocolate Chip Cookies,https://www.allrecipes.com/recipe/11513/chocolate-chip-cookies-gluten-free/,"{'quantity': '¾', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'packed brown sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'gluten-free vanilla extract'}, {'quantity': '¼', 'unit': 'cup', 'name': 'egg substitute'}, {'quantity': '2 ¼', 'unit': 'cups', 'name': 'gluten-free baking mix'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '12', 'unit': 'ounces', 'name': 'semisweet chocolate chips'}","Preheat the oven to 375 degrees F ( 190 degrees C). Grease baking sheets.. Beat butter and sugar together in a medium bowl until lighter in color. Gradually beat in egg substitute and vanilla. Sift gluten- free flour mix, baking soda, baking powder, and salt together; stir into butter mixture until blended. Finally, stir in the chocolate chips.. Drop spoonfuls of cookie dough 2 inches apart on prepared baking sheets. Bake in preheated oven until edges are golden brown, about 6 to 8 minutes. Let cookies cool on baking sheet for a few minutes before removing to wire racks.","calories: 144, fat: 7g, carbs: 22g, protein: 1g, servings: 36"
Chocolate Chip Cookie Bars,https://www.allrecipes.com/chocolate-chip-cookie-bars-recipe-8417110,"{'quantity': 'baking spray', 'unit': None, 'name': 'baking spray'}, {'quantity': '1 1/3', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '2/3', 'unit': 'cup packed', 'name': 'light brown sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '3', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '2', 'unit': 'cups', 'name': 'mini semisweet chocolate chips'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped walnuts'}","Preheat the oven to 350 degrees F (175 degrees C). Gather all ingredients.. Line bottom and sides of a 13x9-inch baking pan with heavy duty aluminum foil, leaving a 2-inch overhang on all sides, lightly spray with baking spray; set aside.. Beat together white sugar, brown sugar, and butter with a stand mixer fitted with paddle attachment on medium speed until light and fluffy, about 3 minutes, stopping to scrape down sides as needed.. With mixer running on low, add eggs, one at a time, beating until just combined after each addition. Beat in vanilla until just combined.. Whisk together flour, baking powder, salt, and baking soda in a medium bowl until combined. With stand mixer running on low speed, gradually beat in flour mixture until almost fully incorporated, about 2 minutes, stopping to scrape down sides as needed.. Stir in chocolate chips and toasted walnuts until combined.. Transfer dough into prepared baking pan, spreading into an even layer.. Bake in preheated oven until golden brown and set, about 40 minutes, rotating baking pan front to back halfway through.. Let cookie cool completely in pan on wire rack, about 1 hour. Using foil overhang as handles, lift cookie out of pan.. Cut into 24 (about 2-inch) squares.","calories: 572, fat: 30g, carbs: 72g, protein: 7g, servings: 12"
Potato Chip Cookies,https://www.allrecipes.com/potato-chip-cookies-recipe-8413963,"{'quantity': '2 1/4', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'unsalted butter (2 sticks)'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'light brown sugar'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'milk'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'cups', 'name': 'potato chips'}, {'quantity': '1', 'unit': 'cup', 'name': 'dark chocolate chips'}",,"calories: 149, fat: 8g, carbs: 19g, protein: 1g, servings: 36"
“Black Magic” Chocolate Chip Cookies,https://www.allrecipes.com/black-magic-chocolate-chip-cookies-recipe-8732777,"{'quantity': '1', 'unit': 'cup', 'name': 'unsalted butter, soft'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'light brown sugar'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'activated charcoal powder'}, {'quantity': '1 1/4', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'milk'}, {'quantity': '1 1/4', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '2 1/4', 'unit': 'cups', 'name': 'all purpose flour'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'chocolate chips'}",,"calories: 161, fat: 8g, carbs: 21g, protein: 2g, servings: 32"
Air Fryer Pizookie,https://www.allrecipes.com/air-fryer-pizookie-recipe-7501307,"{'quantity': '5', 'unit': 'pieces', 'name': 'pre-cut refrigerated chocolate chip cookie dough'}, {'quantity': '1', 'unit': 'scoop', 'name': 'vanilla gelato (optional)'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'whipped cream,'}, {'quantity': '1', 'unit': 'ounce', 'name': 'chocolate'}","Preheat the air fryer to 360 degrees F (175 degrees C).. Get a large piece of aluminum foil and fold it into an 8x8-inch square. You can make a little dish out of the foil by folding the edges upward.. Place 1 piece of cookie dough in the middle of your foil. Arrange remaining cookie dough pieces around it in a pattern similar to the 5-side of a die.. Bake cookie in the air fryer for 6 minutes. Open the air fryer and gently push down the top of the cookie; continue to bake until deep golden brown, 2 to 4 minutes more.. Add gelato, whipped cream, and a drizzle of melted chocolate, and enjoy!","calories: 1064, fat: 60g, carbs: 124g, protein: 8g, servings: 5"
Malted Milk Funfetti Bars,https://www.allrecipes.com/malted-milk-funfetti-bars-recipe-8603260,"{'quantity': '4', 'unit': 'ounces', 'name': 'cream cheese, at room temperature'}, {'quantity': '1', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'unsalted butter, melted and cooled slightly'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, at room temperature'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'almond extract'}, {'quantity': '1 1/4', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'malted milk powder'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'white chocolate chips'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'sprinkles'}","Preheat the oven to 350 degrees F (175 degrees C). Line an 8x8-inch square pan with enough parchment paper to have overhang on all sides.. In a large bowl, beat cream cheese, brown sugar, and melted butter until smooth. Add in egg, vanilla, and almond extract; mix until thoroughly combined. Add in flour, malted milk powder, salt, and baking soda and mix until just incorporated. Fold in white chocolate chips and sprinkles.. Spread batter evenly into the prepared pan.. Bake in the preheated oven until bars are golden and just set, 25 to 30 minutes. Allow bars to cool completely in he  pan before removing using parchment overhang. Cut into 16 bars.","calories: 268, fat: 11g, carbs: 40g, protein: 3g, servings: 16"
Chocolate Chip Pretzel Cookies,https://www.allrecipes.com/chocolate-chip-pretzel-recipe-7496400,"{'quantity': '2 1/2', 'unit': 'cups', 'name': 'all purpose flour'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'cornstarch'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'salted butter, softened'}, {'quantity': '1', 'unit': 'cup packed', 'name': 'brown sugar'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': None, 'name': 'large eggs'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vanilla extract'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'chocolate chips'}, {'quantity': '2', 'unit': 'cups', 'name': 'pretzels, divided'}",,"calories: 119, fat: 6g, carbs: 16g, protein: 1g, servings: 48"
