name,link,ingredients,steps,nutrition
Carrot Cake Energy Balls,https://www.allrecipes.com/carrot-cake-energy-balls-recipe-8647034,"{'quantity': '15', 'unit': None, 'name': 'pitted Deglet Noor dates'}, {'quantity': '5', 'unit': None, 'name': 'dried apricots'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped carrot'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped walnuts'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'unsweetened coconut flakes'}, {'quantity': '¼', 'unit': 'cup', 'name': 'toasted almond butter'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'flax seed meal'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}",,"calories: 133, fat: 10g, carbs: 11g, protein: 3g, servings: 14"
Energy Balls,https://www.allrecipes.com/recipe/245429/no-bake-energy-balls/,"{'quantity': '1', 'unit': 'cup', 'name': 'old-fashioned oats'}, {'quantity': '½', 'unit': 'cup', 'name': 'peanut butter'}, {'quantity': '½', 'unit': 'cup', 'name': 'ground flax seed'}, {'quantity': '½', 'unit': 'cup', 'name': 'chocolate chips'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'honey'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chia seeds (Optional)'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}","Gather all ingredients.. Combine oats, peanut butter, ground flaxseed, chocolate chips, honey, chia seeds, and vanilla extract together in a bowl. Cover and chill the dough in the refrigerator for 30 minutes.. Remove chilled dough from the refrigerator; roll into twenty 1-inch diameter balls.","calories: 114, fat: 7g, carbs: 13g, protein: 3g, servings: 20"
No-Bake Energy Bites,https://www.allrecipes.com/recipe/239969/no-bake-energy-bites/,"{'quantity': '1', 'unit': 'cup', 'name': 'rolled oats'}, {'quantity': '½', 'unit': 'cup', 'name': 'miniature semisweet chocolate chips'}, {'quantity': '½', 'unit': 'cup', 'name': 'ground flax seed'}, {'quantity': '½', 'unit': 'cup', 'name': 'crunchy peanut butter'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'honey'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}",,"calories: 94, fat: 5g, carbs: 11g, protein: 3g, servings: 24"
Chocolate Protein Balls,https://www.allrecipes.com/recipe/233985/chocolate-protein-balls/,"{'quantity': '1', 'unit': 'cup', 'name': 'rolled oats'}, {'quantity': '½', 'unit': 'cup', 'name': 'natural peanut butter'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'honey'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped dark chocolate'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'flax seeds'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chia seeds'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chocolate-flavored protein powder, or to taste'}",,"calories: 188, fat: 10g, carbs: 22g, protein: 6g, servings: 10"
Energy Balls without Peanut Butter,https://www.allrecipes.com/recipe/283043/energy-balls-without-peanut-butter/,"{'quantity': '1', 'unit': 'cup', 'name': 'rolled oats'}, {'quantity': '½', 'unit': 'cup', 'name': 'pumpkin seeds'}, {'quantity': '½', 'unit': 'cup', 'name': 'walnuts'}, {'quantity': '½', 'unit': 'cup', 'name': 'pecans'}, {'quantity': '15', 'unit': '', 'name': 'pitted Medjool dates'}, {'quantity': '½', 'unit': 'cup', 'name': 'brown rice syrup'}, {'quantity': '1', 'unit': 'cup', 'name': 'mini chocolate chips'}, {'quantity': '½', 'unit': 'cup', 'name': 'shredded coconut'}, {'quantity': '½', 'unit': 'cup', 'name': 'raisins'}, {'quantity': '¼', 'unit': 'cup', 'name': 'sunflower seeds'}","Burst oats into a coarse meal in the bowl of a food processor. Add pumpkin seeds, walnuts, and pecans; pulse 10 to 15 times, until chunks are desired size.. Toss dates into the food processor and mix for 30 seconds. Pour rice syrup in slowly, with the processor running, until combined and starting to ball up.. Transfer to a bowl and mix in chocolate chips, coconut, raisins, and sunflower seeds. Pull off dough in 25 gram sections and roll into balls. Place in a single layer on a cookie sheet; it's okay if they touch but make sure they are not stacked.. Refrigerate for 2 to 24 hours before serving.","calories: 86, fat: 4g, carbs: 11g, protein: 2g, servings: 45"
Easy Peanut Butter Energy Balls,https://www.allrecipes.com/recipe/279137/easy-peanut-butter-energy-balls/,"{'quantity': '2', 'unit': 'cups', 'name': 'rolled oats'}, {'quantity': '1', 'unit': 'cup', 'name': 'peanut butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'crushed walnuts'}, {'quantity': '½', 'unit': 'cup', 'name': 'semisweet chocolate chips'}, {'quantity': '¼', 'unit': 'cup', 'name': 'honey, or more as needed'}","Combine oats, peanut butter, crushed walnuts, chocolate chips, and honey in the bowl of a stand mixer fitted with the paddle attachment; beat until well combined, adding more honey if the mixture is not holding together.. Form 24 balls with a cookie scoop and place on a cookie sheet. Refrigerate until firm, 30 to 60 minutes.","calories: 148, fat: 10g, carbs: 13g, protein: 5g, servings: 24"
High-Protein Energy Bites,https://www.allrecipes.com/recipe/256700/high-protein-energy-bites/,"{'quantity': '2', 'unit': 'cups', 'name': 'rolled oats'}, {'quantity': '1', 'unit': 'cup', 'name': 'peanut butter'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'honey'}, {'quantity': '½', 'unit': 'cup', 'name': 'dark chocolate chips'}, {'quantity': '½', 'unit': 'cup', 'name': 'ground flax seeds'}, {'quantity': '½', 'unit': 'cup', 'name': 'chocolate-flavored protein powder'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsweetened shredded coconut'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chia seeds'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'coconut extract'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped coffee beans'}, {'quantity': '2', 'unit': 'tablespoons', 'name': ""cocoa powder (such as Fry's®), or more as needed""}","Mix oats, peanut butter, honey, dark chocolate chips, flax seeds, protein powder, coconut, chia seeds, and coconut extract together in a large bowl; fold in coffee beans. Form mixture into 1-inch balls.. Place cocoa powder in a small bowl. Roll each ball in the cocoa powder until coated.","calories: 146, fat: 8g, carbs: 16g, protein: 6g, servings: 30"
Swedish Chocolate Balls (Chokladbollar),https://www.allrecipes.com/recipe/277027/swedish-chocolate-balls-chokladbollar/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'quick-cooking rolled oats'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '3 ½', 'unit': 'tablespoons', 'name': 'cocoa powder'}, {'quantity': '1', 'unit': 'pinch', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper'}, {'quantity': '¼', 'unit': 'cup', 'name': 'unsalted butter, softened'}, {'quantity': '¼', 'unit': 'cup', 'name': 'coconut oil, at room temperature'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'strong brewed coffee'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsweetened grated coconut, or as needed'}","Heat a pan over medium heat and add oats. Toss and shake until fragrant and lightly toasted, 5 to 7 minutes.. Combine sugar, cocoa powder, salt, cayenne, butter, coconut oil, vanilla extract, and coffee in a bowl. Add the oats and mix until thoroughly combined.. Portion dough into balls using a sorbet scoop. Roll balls in grated coconut and transfer to a parchment-lined baking pan. Let them firm up in the fridge for 15 to 20 minutes.","calories: 131, fat: 9g, carbs: 13g, protein: 2g, servings: 16"
Pecan Pie Energy Bites,https://www.allrecipes.com/recipe/8381294/pecan-pie-energy-bites/,"{'quantity': '1', 'unit': 'cup', 'name': 'pecan halves'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'rolled oats'}, {'quantity': '1', 'unit': 'cup', 'name': 'pitted Medjool dates'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'maple syrup'}",,"calories: 119, fat: 7g, carbs: 15g, protein: 2g, servings: 12"
Oatmeal Energy Balls,https://www.allrecipes.com/recipe/230754/oatmeal-energy-balls/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'rolled oats'}, {'quantity': '¾', 'unit': 'cup', 'name': 'natural peanut butter'}, {'quantity': '½', 'unit': 'cup', 'name': 'raisins'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'honey'}","Combine oats, peanut butter, raisins, and honey with a fork in a bowl, then knead by hand until fully incorporated. Roll into 1-inch balls. Refrigerate for at least 1 hour.","calories: 169, fat: 9g, carbs: 19g, protein: 6g, servings: 12"
Daniel Fast Peanut Butter Balls,https://www.allrecipes.com/recipe/240867/daniel-fast-peanut-butter-balls/,"{'quantity': '¾', 'unit': 'cup', 'name': 'brown rice syrup'}, {'quantity': '½', 'unit': 'cup', 'name': 'coconut oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'natural peanut butter'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '3', 'unit': 'cups', 'name': 'regular or quick-cooking oats, or more to taste'}, {'quantity': '1', 'unit': 'cup', 'name': 'raisins'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsweetened flaked coconut'}","Combine brown rice syrup and coconut oil in a saucepan over medium heat; cook and stir until melted and boiling, 3 to 4 minutes. Remove from the heat.. Add peanut butter and vanilla to the syrup mixture and stir until smooth. Stir in oats, raisins, and coconut until well combined. Refrigerate mixture until cool, at least 30 minutes.. Form cooled mixture into balls. Freeze balls until set, at least 1 hour.","calories: 217, fat: 12g, carbs: 24g, protein: 5g, servings: 24"
Crunchy Chocolate Chip Peanut Butter Snack Bites,https://www.allrecipes.com/recipe/246881/crunchy-chocolate-chip-peanut-butter-snack-bites/,"{'quantity': '1', 'unit': 'cup', 'name': 'large flake rolled oats'}, {'quantity': '½', 'unit': 'cup', 'name': 'Kraft crunchy peanut butter'}, {'quantity': '¼', 'unit': 'cup', 'name': 'honey'}, {'quantity': '½', 'unit': 'cup', 'name': 'salted peanuts, chopped'}, {'quantity': '½', 'unit': 'cup', 'name': ""Baker's semisweet chocolate chips""}","Mix together oats, peanut butter, honey, peanuts, and chocolate chips in a medium bowl until blended. Refrigerate for 20 to 30 minutes.. Roll into twenty 1-inch balls, using about 2 tablespoons for each one.","calories: 109, fat: 7g, carbs: 11g, protein: 3g, servings: 20"
Greek Yogurt Peanut Butter Bites,https://www.allrecipes.com/recipe/278242/greek-yogurt-peanut-butter-bites/,"{'quantity': '¼', 'unit': 'cup', 'name': 'natural peanut butter'}, {'quantity': '¼', 'unit': 'cup', 'name': 'nonfat vanilla Greek yogurt'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'honey'}, {'quantity': '½', 'unit': 'cup', 'name': 'rolled oats'}, {'quantity': '¼', 'unit': 'cup', 'name': 'almond flour'}, {'quantity': '¼', 'unit': 'cup', 'name': 'flaxseed meal'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'cacao nibs'}","Combine peanut butter, Greek yogurt, and honey in a medium bowl. Stir with a spoon until smooth. Add oats, almond flour, flaxseed meal, and cacao nibs. Stir until well incorporated.. Scoop up about 1 tablespoon of mixture with a small cookie scoop or spoon and roll lightly into a ball with your hands. Place in an airtight container and refrigerate for about 1 hour before serving.","calories: 102, fat: 6g, carbs: 10g, protein: 3g, servings: 12"
Oatmeal Almond Butter Bites,https://www.allrecipes.com/recipe/255798/oatmeal-almond-butter-bites/,"{'quantity': '2 ½', 'unit': 'cups', 'name': 'rolled oats'}, {'quantity': '1', 'unit': 'cup', 'name': 'almond butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'semisweet chocolate chips'}, {'quantity': '½', 'unit': 'cup', 'name': 'honey'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chia seeds'}, {'quantity': '¼', 'unit': 'cup', 'name': 'ground flax seeds'}, {'quantity': '¼', 'unit': 'cup', 'name': 'finely shredded unsweetened coconut'}","Mix oats, almond butter, chocolate chips, honey, chia seeds, ground flax seeds, and coconut together in a stand mixer fitted with the paddle attachment, gradually increasing speed, or by hand in a large bowl, until mixture is well combined and forms a large ball.. Shape into 1-inch balls. Place balls onto a parchment-lined baking sheet and freeze until firm, about 30 minutes.","calories: 229, fat: 14g, carbs: 26g, protein: 5g, servings: 18"
