name,link,ingredients,steps,nutrition
Easiest Peanut Butter Fudge,https://www.allrecipes.com/recipe/22724/easiest-peanut-butter-fudge/,"{'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'brown sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'milk'}, {'quantity': '¾', 'unit': 'cup', 'name': 'peanut butter'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '3 ½', 'unit': 'cups', 'name': ""confectioners' sugar""}",,"calories: 168, fat: 6g, carbs: 28g, protein: 2g, servings: 32"
Fudge,https://www.allrecipes.com/recipe/9368/fudge/,"{'quantity': '3', 'unit': 'cups', 'name': 'semisweet chocolate chips'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'sweetened condensed milk'}, {'quantity': '¼', 'unit': 'cup', 'name': 'unsalted butter, cut into pieces'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped walnuts (Optional)'}",,"calories: 359, fat: 18g, carbs: 45g, protein: 5g, servings: 16"
The Original Fantasy Fudge,https://www.allrecipes.com/recipe/228782/the-original-fantasy-fudge/,"{'quantity': '3', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '¾', 'unit': 'cup', 'name': 'butter or margarine'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'evaporated milk'}, {'quantity': '1', 'unit': '(12 ounce) bag', 'name': 'semisweet chocolate chips'}, {'quantity': '1', 'unit': '(7 ounce) jar', 'name': 'marshmallow creme'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped walnuts'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}",,"calories: 141, fat: 7g, carbs: 21g, protein: 1g, servings: 48"
Old-Fashioned Chocolate Fudge,https://www.allrecipes.com/recipe/9420/old-fashioned-chocolate-fudge/,"{'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsweetened cocoa powder'}, {'quantity': '1', 'unit': 'cup', 'name': 'whole milk'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'unsalted butter, sliced and softened'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}",,"calories: 35, fat: 1g, carbs: 7g, protein: 0g, servings: 64"
Easy Two-Ingredient Peanut Butter Fudge,https://www.allrecipes.com/recipe/244434/easy-two-ingredient-peanut-butter-fudge/,"{'quantity': '', 'unit': '', 'name': 'waxed paper'}, {'quantity': '1', 'unit': '(18 ounce) jar', 'name': 'peanut butter'}, {'quantity': '1', 'unit': '(12 ounce) container', 'name': 'whipped cream cheese frosting'}",,"calories: 126, fat: 9g, carbs: 8g, protein: 4g, servings: 36"
The Best Fudge Recipe Was Hiding on the Back of a Jar,https://www.allrecipes.com/the-best-fudge-recipe-from-the-back-of-a-jar-8418129,,,
World's Best Oreo Fudge,https://www.allrecipes.com/recipe/230281/worlds-best-oreo-fudge/,"{'quantity': '3', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '¾', 'unit': 'cup', 'name': 'butter'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'evaporated milk'}, {'quantity': '2', 'unit': 'cups', 'name': 'white chocolate chips'}, {'quantity': '1', 'unit': '(7 ounce) jar', 'name': 'marshmallow creme'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '½', 'unit': 'cup', 'name': 'crumbled chocolate sandwich cookies (such as Oreo)'}, {'quantity': '1', 'unit': 'cup', 'name': 'crushed chocolate sandwich cookies (such as Oreo)'}","Line a 9x13-inch baking dish with parchment paper; set aside.. Bring sugar, butter, and evaporated milk to a boil in a heavy-bottomed saucepan, stirring constantly; cook and stir at a boil until mixture is smooth, 3 to 5 minutes.. Remove the saucepan from heat. Mix in white chocolate chips and marshmallow creme until melted, then stir in vanilla. Fold in 1/2 cup crumbled cookies until just incorporated. Spread fudge into the prepared baking dish.. Sprinkle 1 cup crushed cookies evenly over the top. Press crushed cookies lightly into fudge. Cool at room temperature until set, then cut into small squares to serve.","calories: 146, fat: 6g, carbs: 22g, protein: 1g, servings: 48"
Boardwalk Quality Maple Walnut Fudge,https://www.allrecipes.com/recipe/218790/boardwalk-quality-maple-walnut-fudge/,"{'quantity': '3', 'unit': 'cups', 'name': 'white chocolate chips'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'sweetened condensed milk'}, {'quantity': '¼', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'maple flavored extract'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'broken walnuts'}","Grease an 8x8-inch glass baking dish, and line with an 8x12-inch sheet of parchment paper. The ends will hang over the side of the dish.. Melt white chocolate, sweetened condensed milk, and butter in a microwave-safe glass or ceramic bowl in 30-second intervals, stirring after each melting, for 1 to 3 minutes (depending on your microwave). Do not overheat or chocolate will scorch. Stir in maple flavored extract until just combined, then add walnuts.. Pour fudge mixture into the prepared baking dish; refrigerate until set, about 1 hour. Remove fudge by lifting the parchment paper, then cut into squares.","calories: 328, fat: 22g, carbs: 30g, protein: 5g, servings: 18"
Pumpkin Fudge,https://www.allrecipes.com/recipe/9432/pumpkin-fudge/,"{'quantity': '⅔', 'unit': 'cup', 'name': 'evaporated milk'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '¾', 'unit': 'cup', 'name': 'canned pumpkin'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'cup', 'name': 'white chocolate chips'}, {'quantity': '7', 'unit': 'ounces', 'name': 'marshmallow creme'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter, room temperature'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}","Line a 9-inch square pan with aluminum foil. Spray with cooking spray and set aside.. Heat milk and sugar in a 3-quart saucepan over medium heat; bring to a boil, stirring occasionally with a wooden spoon.. Mix in pumpkin puree and cinnamon; bring back to a boil. Cook, stirring constantly, until the temperature reaches 238 degrees F (114 degrees C) when measured with a candy thermometer, about 18 minutes. Remove saucepan from the heat. Allow to cool slightly, 2 to 3 minutes.. Pour white chocolate chips into a large bowl. Pour fudge mixture over white chocolate chips. Let stand 5 minutes to allow white chocolate to soften; stir until smooth. Mix in marshmallow creme, butter, and vanilla until butter is melted and mixture is smooth. Pour into prepared pan. Cool, remove from pan, and cut into squares. Store in a cool, dry place.","calories: 256, fat: 6g, carbs: 50g, protein: 2g, servings: 16"
World's Best Peanut Butter Fudge,https://www.allrecipes.com/recipe/19160/worlds-best-peanut-butter-fudge/,"{'quantity': '4', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '12', 'unit': 'ounces', 'name': 'peanut butter'}, {'quantity': '1', 'unit': '(7 ounce) jar', 'name': 'marshmallow creme'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'all-purpose flour'}","Grease a 9x13-inch baking dish; set aside.. Combine sugar, milk, and butter in a medium saucepan. Bring to a boil and cook for 5 minutes. Remove from heat.. Stir in peanut butter and marshmallow creme. Mix in flour gradually until incorporated. Spread fudge into the prepared dish. Allow to cool completely before slicing.","calories: 116, fat: 5g, carbs: 18g, protein: 2g, servings: 60"
