name,link,ingredients,steps,nutrition
Simply Guacamole,https://www.allrecipes.com/recipe/163625/simply-guacamole/,"{'quantity': '5', 'unit': '', 'name': 'avocados - peeled, pitted, and mashed'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fresh lemon juice'}, {'quantity': '¾', 'unit': 'cup', 'name': 'minced green onion'}, {'quantity': '½', 'unit': 'cup', 'name': 'minced fresh cilantro'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper, to taste'}",Stir together the avocado and lemon juice in a serving bowl; add the green onion and cilantro; mix well. Season with salt and pepper. Serve immediately or store covered in refrigerator with avocado pits in the bowl to keep from browning.,"calories: 82, fat: 7g, carbs: 5g, protein: 1g, servings: 20"
Guacamole,https://www.allrecipes.com/recipe/14231/guacamole/,"{'quantity': '3', 'unit': '', 'name': 'avocados - peeled, pitted, and mashed'}, {'quantity': '1', 'unit': '', 'name': 'lime, juiced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': '', 'name': 'roma (plum) tomatoes, diced'}, {'quantity': '½', 'unit': 'cup', 'name': 'diced onion'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'chopped fresh cilantro'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'minced garlic'}, {'quantity': '1', 'unit': 'pinch', 'name': 'ground cayenne pepper (Optional)'}",,"calories: 262, fat: 22g, carbs: 18g, protein: 4g, servings: 4"
Easy Guacamole,https://www.allrecipes.com/recipe/14064/easy-guacamole/,"{'quantity': '2', 'unit': '', 'name': 'ripe avocados, peeled and pitted'}, {'quantity': '1', 'unit': 'small', 'name': 'onion, finely chopped'}, {'quantity': '1', 'unit': '', 'name': 'ripe tomato, chopped'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': '', 'name': 'lime, juiced'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}",,"calories: 45, fat: 4g, carbs: 3g, protein: 1g, servings: 16"
Traditional Mexican Guacamole,https://www.allrecipes.com/recipe/221286/traditional-mexican-guacamole/,"{'quantity': '2', 'unit': '', 'name': 'avocados, peeled and pitted'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped tomatoes'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped cilantro'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'lemon juice'}, {'quantity': '1', 'unit': '', 'name': 'jalapeno pepper, seeded and minced (Optional)'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}","Mash avocados in a bowl until creamy.. Mix tomatoes, onion, cilantro, lemon juice, and jalapeño pepper into mashed avocado until well combined. Season with salt and pepper.","calories: 177, fat: 15g, carbs: 12g, protein: 3g, servings: 4"
Best Guacamole,https://www.allrecipes.com/recipe/14837/best-guacamole/,"{'quantity': '2', 'unit': '', 'name': 'avocados'}, {'quantity': '½', 'unit': '', 'name': 'lemon, juiced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped onion'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}","Cut avocados into halves. Remove seeds and scoop out the pulp into a small bowl. Use a fork to mash the avocado.. Stir in lemon juice, onion, olive oil, and salt. Cover the bowl and refrigerate for 1 hour before serving.","calories: 56, fat: 5g, carbs: 3g, protein: 1g, servings: 16"
Easy Never Forgotten Guacamole,https://www.allrecipes.com/recipe/22972/easy-never-forgotten-guacamole/,"{'quantity': '3', 'unit': '', 'name': 'avocados - peeled, pitted and diced'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'sour cream'}, {'quantity': '2', 'unit': '(3 ounce) packages', 'name': 'cream cheese, softened'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'salsa'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1', 'unit': 'dash', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'dash', 'name': 'garlic salt'}, {'quantity': '1', 'unit': 'dash', 'name': 'onion powder'}","In a small bowl, mix together the avocados, sour cream, cream cheese and salsa. Blend to desired consistency.. In a small bowl mix the salt, pepper, garlic salt and onion powder. Stir into the avocado mixture. Cover and chill in the refrigerator 1/2 hour before serving.","calories: 100, fat: 9g, carbs: 4g, protein: 2g, servings: 16"
Quick and Easy Guacamole,https://www.allrecipes.com/recipe/223271/quick-and-easy-guacamole/,"{'quantity': '2', 'unit': None, 'name': 'avocados, peeled, pitted, and diced'}, {'quantity': '2', 'unit': '', 'name': 'green onions, chopped'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh cilantro'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'seasoned salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'minced garlic'}, {'quantity': '½', 'unit': '', 'name': 'lime, juiced'}","Combine avocados, green onions, cilantro, seasoned salt, black pepper, garlic, and lime juice in a bowl; mash with a spoon or potato masher until mostly smooth with small chunks.","calories: 168, fat: 15g, carbs: 10g, protein: 2g, servings: 4"
Chef John's Classic Guacamole,https://www.allrecipes.com/recipe/255589/chef-johns-classic-guacamole/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'minced fresh serrano chili'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped fresh cilantro, divided'}, {'quantity': '¼', 'unit': 'cup', 'name': 'finely diced white onion'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'kosher salt for grinding vegetables, plus more to taste'}, {'quantity': '4', 'unit': 'large', 'name': 'Hass avocados'}, {'quantity': '1', 'unit': 'cup', 'name': 'diced ripe tomatoes, drained (Optional)'}, {'quantity': '1', 'unit': '', 'name': 'lime, juiced, or more to taste'}","Place minced peppers, 1/4 cup of the chopped cilantro, and the diced onions on a cutting board. Chop them together into very small pieces. Sprinkle with kosher salt. Using the flat side of the knife blade, smear the mixture to work it into a paste, and chop again to achieve as fine a texture as possible.. Stem, halve, and pit the avocados. Scoop out flesh and place in a bowl. Add 1/4 cup chopped cilantro, onion and serrano mixture, salt, and fresh lime juice. Mash with a potato masher to desired texture (smooth or chunky), 5 or 6 minutes. Taste and adjust seasonings. If not serving immediately, cover and refrigerate.","calories: 158, fat: 14g, carbs: 10g, protein: 2g, servings: 12"
Avocado-Spinach Dip,https://www.allrecipes.com/recipe/241276/avocado-spinach-dip/,"{'quantity': '2', 'unit': 'cups', 'name': 'fresh spinach'}, {'quantity': '1', 'unit': 'cup', 'name': 'diced avocado'}, {'quantity': '½', 'unit': 'cup', 'name': 'reduced-fat sour cream'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped red onion'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh lime juice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped seeded jalapeno pepper'}, {'quantity': '1', 'unit': 'large', 'name': 'garlic clove'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '', 'unit': '', 'name': 'hot sauce'}","Process spinach, avocado, sour cream, red onion, lime juice, jalapeno pepper, garlic, salt, black pepper, and hot sauce in a food processor until smooth.. Scrape dip into a serving bowl, cover with plastic wrap, and refrigerate until chilled, at least 1 hour.","calories: 56, fat: 5g, carbs: 3g, protein: 1g, servings: 8"
Basic Guacamole Dip,https://www.allrecipes.com/recipe/55071/basic-guacamole-dip/,"{'quantity': '4', 'unit': 'medium', 'name': 'ripe avocados - peeled, pitted, and mashed'}, {'quantity': '2', 'unit': 'medium', 'name': 'tomatoes, diced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'minced onion'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon juice'}","Mix avocados, tomatoes, onion, and lemon juice together in a bowl until thoroughly combined. Serve immediately. Store any unused dip in the refrigerator.","calories: 168, fat: 15g, carbs: 10g, protein: 2g, servings: 8"
