name,link,ingredients,steps,nutrition
Green Lentil “Gumbo” Soup,https://www.allrecipes.com/green-lentil-gumbo-soup-recipe-7968859,"{'quantity': '8', 'unit': 'ounces', 'name': 'andouille sausage, cut into 1/4-inch cubes'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'onion'}, {'quantity': '1', 'unit': 'cup', 'name': 'green bell pepper'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'celery'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'kosher salt, plus more to taste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'cumin'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'dried thyme'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '1', 'unit': None, 'name': 'bay leaf'}, {'quantity': '6', 'unit': 'cups', 'name': 'low-sodium chicken broth'}, {'quantity': '8', 'unit': 'ounces', 'name': 'chicken thighs, cut into small pieces'}, {'quantity': '4', 'unit': 'ounces', 'name': 'smoked ham, diced'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'okra'}, {'quantity': '1', 'unit': 'cup', 'name': 'lentils, rinsed'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'orcestershire sauce'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'hot sauce'}, {'quantity': '1/4', 'unit': 'cup chopped', 'name': 'talian parsley'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'green onions'}, {'quantity': '2', 'unit': 'cups', 'name': 'cooked white rice (optional)'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'green onions, or as needed'}, {'quantity': None, 'unit': None, 'name': '1/8 teaspoon cayenne pepper, or to taste'}",,"calories: 374, fat: 23g, carbs: 20g, protein: 26g, servings: 6"
Autumn Lentil Soup,https://www.allrecipes.com/recipe/216465/autumn-lentil-soup/,"{'quantity': '3', 'unit': 'tablespoons', 'name': 'extra-virgin olive oil'}, {'quantity': '1 ½', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, pressed'}, {'quantity': '½', 'unit': '(750 milliliter) bottle', 'name': 'dry white wine (such as Chenin Blanc)'}, {'quantity': '½', 'unit': 'pound', 'name': 'dry brown lentils'}, {'quantity': '1', 'unit': '(32 fluid ounce) container', 'name': 'chicken stock'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'Italian seasoning'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried parsley'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'dried minced onion'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}","Heat the olive oil in a large saucepan or Dutch oven over medium heat. Stir in the onions and garlic; cook until the onions soften, turn translucent, and begin to brown, about 10 minutes. Pour in the white wine, and bring to a boil over high heat. Reduce heat to medium, and simmer 10 minutes.. Stir in the lentils, chicken stock, Italian seasoning, parsley, garlic powder, and dried onion. Bring to a simmer over high heat, then reduce heat to medium-low, cover, and simmer until the lentils are very tender, about 1 1/2 hours. Season to taste with salt and black pepper before serving.","calories: 194, fat: 6g, carbs: 21g, protein: 7g, servings: 8"
Lentil Soup,https://www.allrecipes.com/recipe/13978/lentil-soup/,"{'quantity': '¼', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '2', 'unit': '', 'name': 'carrots, diced'}, {'quantity': '2', 'unit': 'stalks', 'name': 'celery, chopped'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': '', 'name': 'bay leaf'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried basil'}, {'quantity': '2', 'unit': 'cups', 'name': 'dry lentils'}, {'quantity': '8', 'unit': 'cups', 'name': 'water'}, {'quantity': '1', 'unit': '(14.5 ounce) can', 'name': 'crushed tomatoes'}, {'quantity': '½', 'unit': 'cup', 'name': 'spinach, rinsed and thinly sliced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vinegar'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}, {'quantity': '', 'unit': '', 'name': 'ground black pepper to taste'}",,"calories: 349, fat: 10g, carbs: 48g, protein: 18g, servings: 8"
Moroccan Harira Soup,https://www.allrecipes.com/recipe/8479335/moroccan-harira-soup/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'extra-virgin olive oil, plus more for garnish'}, {'quantity': '12', 'unit': 'ounces', 'name': 'boneless lamb shoulder, cut into 1/2 -inch pieces (Optional)'}, {'quantity': '1', 'unit': 'large', 'name': 'yellow onion, diced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt, divided, or to taste'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'smoked paprika'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground coriander'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'freshly ground black pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'tomato paste'}, {'quantity': '4', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'crushed tomatoes'}, {'quantity': '2', 'unit': 'ribs', 'name': 'celery with leaves, chopped'}, {'quantity': '2', 'unit': 'cups', 'name': 'water, or to taste'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'chickpeas, drained'}, {'quantity': '¾', 'unit': 'cup', 'name': 'green lentils, rinsed'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'cold water'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped fresh cilantro, divided'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped fresh parsley, divided'}, {'quantity': '½', 'unit': 'cup', 'name': 'vermicelli, broken into 1/2-inch pieces'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '1', 'unit': '', 'name': 'lemon, juiced'}",,"calories: 214, fat: 6g, carbs: 33g, protein: 10g, servings: 6"
Lentil Ham Soup,https://www.allrecipes.com/recipe/240996/lentil-ham-soup/,"{'quantity': '1', 'unit': '(32 ounce) carton', 'name': 'low-sodium chicken broth'}, {'quantity': '2', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': 'medium', 'name': 'carrots, chopped'}, {'quantity': '2', 'unit': 'stalks', 'name': 'celery, chopped'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': 'cup', 'name': 'dried lentils'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'red wine vinegar'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'cubed cooked ham'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dry mustard'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}","Stir chicken broth, water, carrots, celery, onion, lentils, garlic, and red wine vinegar together in a large stockpot; bring to a boil, reduce heat to low, and simmer until carrots are tender, about 10 minutes.. Stir in ham, mustard, salt, and pepper; simmer until lentils are tender, 20 to 30 minutes more.","calories: 178, fat: 5g, carbs: 19g, protein: 13g, servings: 8"
Greek Lentil Soup (Fakes),https://www.allrecipes.com/recipe/137650/greek-lentil-soup-fakes/,"{'quantity': '8', 'unit': 'ounces', 'name': 'brown lentils'}, {'quantity': '¼', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'medium', 'name': 'onion, minced'}, {'quantity': '1', 'unit': 'large', 'name': 'carrot, chopped'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'minced garlic'}, {'quantity': '1', 'unit': 'quart', 'name': 'water'}, {'quantity': '2', 'unit': '', 'name': 'bay leaves'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '1', 'unit': 'pinch', 'name': 'crushed dried rosemary (Optional)'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'tomato paste'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'olive oil, or to taste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'red wine vinegar, or to taste (Optional)'}","Place lentils in a large saucepan; add enough water to cover by 1 inch. Bring water to a boil and cook for 10 minutes; drain.. Heat olive oil in a saucepan over medium heat. Add onion, carrot, and garlic; cook and stir until onion has softened and turned translucent, about 5 minutes. Pour in lentils, then add 1 quart water, bay leaves, oregano, and rosemary. Bring to a boil. Cover and reduce heat to medium-low; simmer for 10 minutes.. Stir in tomato paste; season with salt and pepper. Cover and simmer, stirring occasionally, until lentils have softened, 30 to 40 minutes. Add additional water if soup becomes too thick. Drizzle with olive oil and red wine vinegar to serve.","calories: 357, fat: 16g, carbs: 40g, protein: 16g, servings: 4"
Red Lentil Soup,https://www.allrecipes.com/recipe/139262/lebanese-style-red-lentil-soup/,"{'quantity': '6', 'unit': 'cups', 'name': 'chicken stock'}, {'quantity': '1', 'unit': 'pound', 'name': 'red lentils'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'minced garlic'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground cumin'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '¾', 'unit': 'cup', 'name': 'fresh lemon juice'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped cilantro'}","Bring chicken stock and lentils to a boil in a large saucepan over high heat. Reduce heat to medium-low, cover, and simmer for 20 minutes.. Meanwhile, heat olive oil in a skillet over medium heat. Stir in onion and garlic; cook until onion has softened and turned translucent, about 3 minutes.. Stir onion mixture into lentils; season with cumin and cayenne. Continue simmering until lentils are tender, about 10 minutes.. Puree soup in a standing blender or with an immersion blender until smooth. Stir in lemon juice and cilantro.","calories: 276, fat: 7g, carbs: 39g, protein: 17g, servings: 8"
Vegan Split Pea Soup,https://www.allrecipes.com/recipe/16217/vegan-split-pea-soup-i/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': '', 'name': 'bay leaf'}, {'quantity': '7 ½', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': 'cups', 'name': 'dried split peas'}, {'quantity': '½', 'unit': 'cup', 'name': 'barley'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '3', 'unit': '', 'name': 'potatoes, diced'}, {'quantity': '3', 'unit': '', 'name': 'carrots, chopped'}, {'quantity': '3', 'unit': 'stalks', 'name': 'celery, chopped'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped parsley'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried basil'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried thyme'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}","Gather all ingredients.. Heat oil in a large pot over medium-high heat. Sauté onion, garlic, and bay leaf in hot oil until onions are translucent, about 5 minutes. Add water, peas, barley, and salt; bring to a boil. Reduce heat to low and simmer for 2 hours, stirring occasionally.. Add potatoes, carrots, celery, parsley, basil, thyme, and pepper. Simmer until peas and vegetables are tender, about 1 hour.","calories: 247, fat: 2g, carbs: 46g, protein: 13g, servings: 10"
Lentil and Sausage Soup,https://www.allrecipes.com/recipe/45426/lentil-and-sausage-soup/,"{'quantity': '½', 'unit': 'pound', 'name': 'sweet Italian pork sausage, cut into 1/2-inch slices'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': 'stalk', 'name': 'celery, finely chopped'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped garlic'}, {'quantity': '8', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': '(14.5 ounce) cans', 'name': 'chicken broth'}, {'quantity': '1', 'unit': '(28 ounce) can', 'name': 'diced tomatoes'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'dry lentils, rinsed'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded carrot'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'garlic powder'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh parsley'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'salt, or to taste'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'dried thyme'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'dried basil'}, {'quantity': '2', 'unit': 'large', 'name': 'bay leaves'}, {'quantity': '½', 'unit': 'pound', 'name': 'ditalini pasta (Optional)'}","Cook sausage in a large pot over medium-high heat until evenly brown, 7 to 10 minutes. Add onion, celery, and garlic; sauté until tender and translucent, about 5 minutes. Stir in water, chicken broth, tomatoes, lentils, carrot, garlic powder, parsley, salt, pepper, oregano, thyme, basil, and bay leaves; bring to a boil. Reduce the heat, cover, and simmer until lentils are tender, 2 1/2 to 3 hours.. Stir in pasta and cook until tender, 15 to 20 minutes. Remove bay leaves before serving.","calories: 353, fat: 8g, carbs: 50g, protein: 19g, servings: 10"
Turkish Red Lentil Soup with Mint,https://www.allrecipes.com/recipe/219817/turkish-red-lentil-soup-with-mint/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '½', 'unit': '', 'name': 'onion, diced'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '¼', 'unit': 'cup', 'name': 'diced tomatoes, drained'}, {'quantity': '5', 'unit': 'cups', 'name': 'chicken stock'}, {'quantity': '½', 'unit': 'cup', 'name': 'red lentils'}, {'quantity': '¼', 'unit': 'cup', 'name': 'fine bulgur wheat'}, {'quantity': '¼', 'unit': 'cup', 'name': 'rice'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'tomato paste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'dried mint'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'cayenne pepper (Optional)'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}","Heat oil in a large pot over medium heat. Add onion and sauté until beginning to soften, about 2 minutes. Stir in garlic and cook for 2 minutes. Add diced tomatoes and cook for 10 minutes.. Stir in chicken stock, lentils, bulgur, rice, tomato paste, mint, paprika, cayenne pepper, salt, and black pepper; bring to a boil. Reduce heat to medium-low and simmer until lentils and rice are tender, about 30 minutes.. Puree soup with an immersion blender until smooth.","calories: 168, fat: 6g, carbs: 24g, protein: 7g, servings: 6"
